Title,Address,Description,Price,Date added,Seller,Url
3 bedroom penthouse for sale,"Penthouse, Kirkview Crescent, Newton Mearns",RESERVED - An opportunity to acquire a particularly spacious three bedroom Penthouse in Newton Mearns.,"£695,000",Added on 29/06/2021,"Nicol Estate Agents, Newton Mearns",www.rightmove.co.uk/properties/105542351
4 bedroom detached house for sale,"Woodvale Avenue, Giffnock, Glasgow, G46",An individual traditional detached house extending to approximately 3310 square feet or thereby.,"£695,000",Added on 23/06/2021,"Corum, Newton Mearns",www.rightmove.co.uk/properties/109642958
4 bedroom detached house for sale,"Norwood Drive, Giffnock, Glasgow",Arnprior is a truly spectacular detached villa which successfully blends period architecture with a significant extension and high specification finish to produce a wonderful home within locally admired Lower Whitecraigs. Surely one of the very finest houses to grace the local market i...,"£690,000",Added yesterday,"Rettie & Co, Newton Mearns",www.rightmove.co.uk/properties/109642958
3 bedroom duplex for sale,"Plot 81 -  Park Quadrant Residences, Glasgow, G3","A spectacular home with exceptional specification. Accommodation extends across two levels benefiting from principal suite with walk-in wardrobe, 3 en suites bathrooms & private terrace. ","£681,000",Added on 19/02/2021,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/109359374
Land for sale,"Newlands Road, East Kilbride, Glasgow, G75",Ideal opportunity for the builder/developer to purchase this substantial plot ideally located in a highly desirable area close to both Jackton and East Kilbride.,"£675,000",,"Marketed by National Property, Glasgow",www.rightmove.co.uk/properties/109359374
3 bedroom penthouse for sale,"Kirkview Crescent, Newton Mearns","RESERVED - A spacious three bedroom Penthouse with private main door access, sun room with access to a private south facing terrace. The main accommodation is located on the first floor including access to two terraces.","£675,000",Added on 29/06/2021,"Nicol Estate Agents, Newton Mearns",www.rightmove.co.uk/properties/109786076
6 bedroom detached house for sale,"Balmore Road, Bardowie, East Dunbartonshire, G62 6ES","A truly spectacular 6 bedroom detached bungalow which has been extensively refurbished and transformed by the addition of a magnificent rear extension and two significant contemporary dormer extensions. ‘Westways’ is an impressive six bedroom, two public room detached bungalow formed over two...","£665,000",Added on 14/05/2021,"Clyde Property, Bearsden",www.rightmove.co.uk/properties/109786076
2 bedroom apartment for sale,"Blythswood Street, Blythswood Hill, Glasgow","A unique opportunity for an Investor looking to enter the serviced apartment market or to expand their rental portfolio in Glasgow City Centre. Apartments 1, 2 & 3 at No. 79 Blythswood Street are centrally located within Glasgow’s International Financial Services District in...","£650,000",Added on 15/01/2021,"Rettie & Co, Glasgow",www.rightmove.co.uk/properties/89233627
4 bedroom detached house for sale,"Glebe Wynd, Bothwell, Glasgow, South Lanarkshire, G71","Situated in the heart of the conservation village of Bothwell, in one of the village’s most exclusive addresses, this expansive executive detached villa is presented to the market in immaculate condition throughout. The property is formed over two levels, with the entrance level ...","£650,000",Reduced on 09/11/2020,"Slater Hogg & Howison, Hamilton",www.rightmove.co.uk/properties/89233627
5 bedroom town house for sale,"The Elder, 52 Normal Avenue, Jordanhill Park, Jordanhill, G13 1FE","A stunning, mid terrace townhouse by Cala within the award winning Jordanhill Park.","£649,500",Added on 03/02/2021,"Corum, West End",www.rightmove.co.uk/properties/67772724
4 bedroom detached house for sale,"Kelvinside Gardens East, North Kelvinside, Glasgow, G20 6BE","HD Video Available. A delightful detached family home which was completely rebuilt to a high specification approximately ten years ago and now provides flexible, contemporary accommodation of six principle apartments, all set amidst sheltered private gardens within this quiet address. ...","£645,000",Added on 25/06/2021,"Clyde Property, Westend",www.rightmove.co.uk/properties/67772724
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","For luxury living in the West End, discover this spacious, high specification home surrounded by parkland. Thoughtful touches and high specification can be found throughout - included as standard - such as the spectacular designer kitchen with induction hob, Silestone worktops, boiling tap, an...","£629,995",Added on 31/03/2021,CALA Homes,www.rightmove.co.uk/properties/109649111
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","Discover this spacious home in the West End set across 3 impressive levels. Set in Jordanhill Park, enjoy lush parkland right on your doorstep, as well as your private garden, parking and high spec such as underfloor heating & induction hob.","£629,500",Added on 18/05/2021,CALA Homes,www.rightmove.co.uk/properties/109649111
4 bedroom detached house for sale,"Ayr Road,
Newton Mearns,
G77 5GR","The Elliot Studio is the perfect family home, complete with 4 bedrooms, study space and additional recreational space over the garage.?","£619,995",Added on 19/05/2021,CALA Homes,www.rightmove.co.uk/properties/106944827
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","Discover this spacious home in the West End set across 3 impressive levels. Set in Jordanhill Park, enjoy lush parkland right on your doorstep, as well as your private garden, parking and high spec such as underfloor heating & induction hob.","£619,995",Added on 18/05/2021,CALA Homes,www.rightmove.co.uk/properties/106944827
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","For luxury living in the West End, discover this spacious, high specification home surrounded by parkland. Thoughtful touches and high specification can be found throughout - included as standard - such as the spectacular designer kitchen with induction hob, Silestone worktops, boiling tap, an...","£619,995",Added on 18/05/2021,CALA Homes,www.rightmove.co.uk/properties/88332331
4 bedroom detached house for sale,"Myrtle Avenue, Lenzie, East Dunbartonshire, G66 4HP","Dating back to the late 1800’s, and originally built as the St Cyprian’s Church Manse, this truly magnificent detached Victorian villa of eight principal apartments occupies one of Lenzie’s most prestigious addresses. Offering four double bedrooms and four sizeable public rooms, this exquisit...","£615,000",Added on 04/06/2021,"Clyde Property, Bearsden",www.rightmove.co.uk/properties/88332331
3 bedroom apartment for sale,"Plot 84 - Park Quadrant Residences, Park Quadrant, Glasgow, G3","Apartment 84 Type G, is a spacious 3 bedroom apartment located on the second floor with balcony. The apartment further benefits from feature bay window, lift access and internal parking.","£599,995",Added on 19/03/2021,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/80267049
5 bedroom detached house for sale,"Shenley, Craigmaddie Road, Bardowie, East Dunbartonshire, G62 6EX","Situated within a double plot with views across Bardowie Loch, a thoughtfully extended five bedroom detached villa built in the highly attractive Arts & Crafts style. ‘Shenley’ is an impressive detached villa of eight principal apartments, offering versatile accommodation of two public rooms,...","£599,000",Added on 20/05/2021,"Clyde Property, Bearsden",www.rightmove.co.uk/properties/80267049
10 bedroom semi-detached house for sale,"Dumbreck Road, Dumbreck, Glasgow, G41 5NP",HD Property Video Available. A substantial and intriguing semi detached traditional property offering a wonderful development opportunity. Currently operated as a guest house and suitable for commercial lending purposes the agents propose that subject to all the necessary planning permissions t...,"£599,000",Added on 25/06/2021,"Clyde Property, Shawlands",www.rightmove.co.uk/properties/102449150
2 bedroom mews house for sale,"Belmont West, Residence 2, Great George Street, Hillhead, G12 8RU",Residence 2 is a stylish 2 bedroom semi-detached villa spread over 2 floors within the church grounds. This property benefits from a private sun terrace accessed from both bedrooms as well as a large private terrace off the lounge.,"£595,000",Added on 18/06/2021,"Corum, West End",www.rightmove.co.uk/properties/102449150
4 bedroom mews house for sale,"Lancaster Crescent Lane, Cleveden, Glasgow, G12 0RR","HD Video Available. This superb, traditional Mews home benefits from a convenient, yet extremely private position within this prestigious location and offers recently renovated, luxurious accommodation over three levels. Lancaster Crescent was designed by architect, James Miller in 1898 and today...","£595,000",Added on 25/05/2021,"Clyde Property, Westend",www.rightmove.co.uk/properties/109459235
5 bedroom terraced house for sale,"Mansefield, 32 Montgomery Street, Eaglesham, Glasgow, G76",Fine Georgian conservation village townhouse with beautiful gardens close to Glasgow.,"£595,000",Added on 24/06/2021,"Savills, Glasgow",www.rightmove.co.uk/properties/109459235
5 bedroom detached house for sale,"Malletsheugh Road,
Newton Mearns,
Glasgow,
G77","This is a large, attractive five double bedroom family home - perfect for flexible living.
Downstairs, your lounge and large dining kitchen both create a sense of outdoor living with French doors out to the garden.
There's also a study, giving everyone plenty of space to enjoy time at home.
The f...","£589,995",Added on 23/05/2021,David Wilson Homes,www.rightmove.co.uk/properties/80420049
5 bedroom semi-detached house for sale,"Southbrae Drive, Jordanhill, Glasgow","Wonderful gardens, a long private driveway and a double garage are just a few of the numerous features this exceptional Jordanhill house has to offer. The gardens are truly beautiful, unusually large and private whilst also being totally unseen from the front. There is almost a “country&rdq...","£585,000",Added today,"Rettie & Co, West End",www.rightmove.co.uk/properties/109645340
5 bedroom detached house for sale,"Alnwick Drive, Cumbernauld, G68","59 Alnwick Drive, ""The Ramsay "" built by Cala Homes is a very spacious family home epitomising contemporary living at its finest occupying an enviable plot. Meticulous planning, considerable imagination and attention to detail have created one of the most distinguished homes to be found in this area","£580,000",Added on 18/06/2021,"K Property, Cumbernauld",www.rightmove.co.uk/properties/109827722
4 bedroom detached house for sale,"Orchard Avenue, Bothwell, Glasgow","This beautiful, detached sandstone villa is set amidst enclosed private gardens and is located within a much admired and seldom available address in the heart of Bothwell. Alongside a wealth of impressive period features this home offers spacious and versatile accommodations ideal for fa...","£575,000",Added on 29/06/2021,"Residence Estate Agents, Uddingston",www.rightmove.co.uk/properties/109827722
4 bedroom detached house for sale,"Yew Tree House, 38 Braehead Road, Thorntonhall, Glasgow, G74",Charming detached traditional family home.,"£575,000",Added on 06/05/2021,"Savills, Glasgow",www.rightmove.co.uk/properties/109080383
4 bedroom detached house for sale,"Fieldway, Braehead Road, Thorntonhall, Glasgow, G74",Detached villa with large garden grounds and development potential.,"£575,000",Added on 07/05/2021,"Savills, Glasgow",www.rightmove.co.uk/properties/109080383
5 bedroom town house for sale,"42 Queen Square, Strathbungo",This full three storey townhouse offers the opportunity to live in the celebrated Strathbungo community.,"£570,000",Added yesterday,"Corum, Shawlands",www.rightmove.co.uk/properties/109672373
5 bedroom detached house for sale,"Off Ayr Rd,
Maidenhill,
Newton Mearns,
G77","The Everett Grand with WEST FACING GARDEN is a DETACHED FAMILY HOME offering 2,118 SQUARE FEET of living space over THREE FLOORS and an INTEGRATED GARAGE. The downstairs space comprises a light and spacious OPEN PLAN KITCHEN and dining area to the back of the home, which leads into the STATEMENT...","£565,000",Added on 16/04/2021,Robertson Homes,www.rightmove.co.uk/properties/109672373
4 bedroom house for sale,"Polbae Crescent, Eaglesham, Glasgow","Ann Inglis from On the Move Estate Agents is delighted to present to you this one and a half storey four bedroom four bathroom detached villa that offers fantastic family accommodation, with generous living space in a quiet street within the lovely conservation village of Eaglesham. It is a short...","£565,000",Added on 31/03/2021,"On The Move Estate Agents, Coatbridge",www.rightmove.co.uk/properties/106527731
4 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","Enjoy four sumptuous bedrooms plus a handy study on the ground floor, perfect for a home office, games room or cosy snug. Thoughtful touches and high specification throughout, including a spectacular designer kitchen with induction hob, Silestone worktops, boiling tap, and stylish LED lighting...","£564,995",Added on 31/03/2021,CALA Homes,www.rightmove.co.uk/properties/106527731
5 bedroom detached house for sale,"Kenmuir Avenue, Glasgow, G32","This spectacular, fully renovated detached villa conveniently located for a host of amenities and transport links. This fabulous family home comprises a welcoming reception hall, stunning open plan kitchen/ living space, utility room, five double bedrooms with 2 newly fitted en-suites and two mod...","£550,000",Added on 01/06/2021,"Purplebricks, covering Glasgow",www.rightmove.co.uk/properties/106620980
2 bedroom apartment for sale,"Plot 61 - Park Quadrant Residences, Park Quadrant, Glasgow, G3","Apartment 61 Type F, is a stylish 2 bedroom with en suite and shower room located on the fourth floor benefiting from South facing balcony, lift access & internal residents parking. ","£550,000",Added on 24/05/2021,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/106620980
3 bedroom apartment for sale,"Buckingham Terrace, Botanics, Glasgow","A prominent ""A"" listed building by J.T Rochead circa 1892/1854. Number One Buckingham Terrace is part of a wonderful renaissance detailed terrace and numbers one and isixteen are end terrace buildings with the upper floors entering from the side street which is the case of number one is...","£550,000",Added yesterday,"Rettie & Co, West End",www.rightmove.co.uk/properties/109775126
3 bedroom flat for sale,"Ayr Road, Giffnock, Glasgow, G46",A very impressive luxury flat extending to just over 2000 square feet or thereby.,"£545,000",Added on 21/05/2021,"Corum, Newton Mearns",www.rightmove.co.uk/properties/109775126
2 bedroom apartment for sale,"Plot 74 - Park Quadrant Residences, Glasgow, G3","Apartment 74 Type F, is a stylish 2 bedroom with en suite and shower room located on the second floor benefiting from South facing balcony, lift access & internal residents parking. ","£545,000",Added on 15/02/2021,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/80594580
3 bedroom flat for sale,"Ayr Road, Giffnock, Glasgow, G46",A luxury second floor flat within this flagship development by Dickie Homes.,"£535,000",Added on 04/06/2021,"Corum, Newton Mearns",www.rightmove.co.uk/properties/80594580
2 bedroom penthouse for sale,"Fergus Drive,
Glasgow,
G20","Kibble Heights is an exclusive development of 19, two and three bedroom luxury apartments situated within the leafy heart of North Kelvinside in Glasgow's vibrant West End.","£535,000",Added on 15/04/2021,Westpoint Homes,www.rightmove.co.uk/properties/107788073
4 bedroom detached villa for sale,"Beechlands Drive , Clarkston , Glasgow, G76 7UX","HD Video Available. Benefitting from a peaceful location adjacent to mature woodland, this well presented and deceptively spacious detached home provides bright and flexible family accommodation over three levels. The house was originally built in the 1950’s and now benefits from repla...","£535,000",Added on 21/06/2021,"Clyde Property, Clarkston",www.rightmove.co.uk/properties/107788073
4 bedroom detached house for sale,"Off Ayr Rd,
Maidenhill,
Newton Mearns,
G77","The beautifully designed Leonardo Garden Room is a welcoming detached family home offering almost 1900 SQUARE FEET OF LIVING SPACE with a SEPARATE DOUBLE GARAGE. The downstairs area comprises a light and spacious OPEN PLAN DESIGNER KITCHEN and dining area which leads into the garden room, with CA...","£530,000",Added on 13/05/2021,Robertson Homes,www.rightmove.co.uk/properties/79289730
3 bedroom house for sale,"Beechwood Drive, Broomhill, G11 7EU","NEW TO MARKET - A beautifully presented extended end terrace villa in a very popular pocket in Broomhill. Spacious and flexible living accommodation, 3 double bedrooms, 2 bathrooms, garden & driveway.","£525,000",Added on 29/06/2021,"Fineholm, Glasgow",www.rightmove.co.uk/properties/79289730
3 bedroom mews house for sale,"The Coach House, 12 Sydenham Lane, Dowanhill, G12 9EU","A charming three bedroom, detached, sandstone coach house built circa late 1800's.","£525,000",Added on 24/06/2021,"Corum, West End",www.rightmove.co.uk/properties/107979914
5 bedroom detached house for sale,"Newton Grove, Newton Mearns, Glasgow, G77",A modern detached house by Cala Homes set within this much admired private development.,"£520,000",Added on 23/06/2021,"Corum, Newton Mearns",www.rightmove.co.uk/properties/107979914
2 bedroom apartment for sale,"Plot 94 -  Park Quadrant Residences, Glasgow, G3","Apartment 94 Type D, is a stylish 2 bedroom on the third floor benefiting from open plan kitchen/living area, both bedrooms feature en suites. Lift access & internal residents parking. ","£520,000",Added on 19/02/2021,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/107520446
5 bedroom bungalow for sale,"Braidholm Road, Giffnock, East Renfrewshire, G46","An excellent opportunity to acquire a professionally extended detached villa providing excellent sized and flexible accommodation over two levels. The home is ideal for the growing family which includes five bedrooms and is sure to impress on viewing. Comprises, reception hallway,...","£515,000",Reduced on 10/03/2021,"Countrywide, Clarkston",www.rightmove.co.uk/properties/107520446
3 bedroom apartment for sale,"Fergus Drive,
Glasgow,
G20","Kibble Heights is an exclusive development of 19, two and three bedroom luxury apartments situated within the leafy heart of North Kelvinside in Glasgow's vibrant West End.","£515,000",Added on 26/02/2021,Westpoint Homes,www.rightmove.co.uk/properties/109798157
Land for sale,"Duke Street, Glasgow","- Development Opportunity - Potential for residential, hotel, retail, carehome etc. - 0.66 acres - Next to Forge Shopping Centre - Currently car parking space - 15min walk to Duke Sreet Station - Offers Invited",POA,,"Marketed by Rettie & Co, Edinburgh",www.rightmove.co.uk/properties/108673340
5 bedroom detached house for sale,"Off Ayr Rd,
Maidenhill,
Newton Mearns,
G77","The Lawrie Garden Room is a DETACHED FAMILY HOME with WEST FACING GARDEN and INTEGRATED GARAGE, offering 1,850 SQUARE FEET of living space. The downstairs space comprises a light and spacious OPEN PLAN KITCHEN and dining area which leads into the STATEMENT GARDEN ROOM, with floor to ceiling CATHE...","£500,000",Added on 16/04/2021,Robertson Homes,www.rightmove.co.uk/properties/108965651
Land for sale,"Development Land, Pendeen Road, Glasgow, Lanarkshire, G33",Development Site,POA,,"Marketed by Galbraith, Stirling",www.rightmove.co.uk/properties/108965651
6 bedroom detached house for sale,"Craigpark, Dennistoun, G31 2LZ","****360 VIRTUAL TOUR AVAILABLE****Keys Estate Agents are delighted to offer to the market this unique Edwardian style Sandstone Detached Villa, built circa 1900's. Craigpark formed one of the orig...","£500,000",Added on 18/08/2020,"Keys Estate Agents, Glasgow",www.rightmove.co.uk/properties/79669266
3 bedroom apartment for sale,"Buckingham Terrace, Botanics, Glasgow","A prominent ""A"" listed building by J.T Rochead circa 1892/1854. Number One Buckingham Terrace is part of a wonderful renaissance detailed terrace and numbers one and isixteen are end terrace buildings with the upper floors entering from the side street which is the case of number one is...","£500,000",Added today,"Rettie & Co, West End",www.rightmove.co.uk/properties/79669266
4 bedroom detached house for sale,"Ayr Road,
Newton Mearns,
G77 5GR",The Colville is a beautifully presented 4 bedroom home with additional study space that enjoys streamlined kitchens with integrated appliances and thoughtful finishes throughout.?,"£499,995",Added on 07/05/2021,CALA Homes,www.rightmove.co.uk/properties/107279078
2 bedroom apartment for sale,"Plot 85 -  Park Quadrant Residences, Glasgow, G3","Apartment 85 Type E, is a spacious 2 bedroom, on the third floor with private balcony. The apartment further benefits from feature bay window, lift access and internal residents parking. ","£499,995",Added on 19/11/2019,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/107279078
3 bedroom apartment for sale,"Fergus Drive,
Glasgow,
G20","Kibble Heights is an exclusive development of 19, two and three bedroom luxury apartments situated within the leafy heart of North Kelvinside in Glasgow's vibrant West End.","£495,000",Added on 26/02/2021,Westpoint Homes,www.rightmove.co.uk/properties/72612333
3 bedroom terraced house for sale,"80 Randolph Road, Broomhill, Glasgow, G11 7EE","EXTENDED 3 BEDROOM RED SANDSTONE TERRACED VILLA WITH 2 BATHROOMS, UTILITY ROOM, MULTI FUEL STOVE AND OPEN PLAN LIVING SET IN THE LEAFY WEST END CONSERVATION AREA OF BROOMHILL.","£495,000",Added on 29/06/2021,"Ivy Property, Glasgow",www.rightmove.co.uk/properties/72612333
4 bedroom terraced house for sale,"Borden Road, Jordanhill, Glasgow","Having the advantage of list one catchment status for Jordanhill School this impressive, traditional, mid-terraced villa is on Borden Road, one of the area’s most desirable addresses. The internal accommodation extends to six well-presented apartments of four bedrooms, two public...","£495,000",Added on 24/06/2021,"Rettie & Co, West End",www.rightmove.co.uk/properties/109798253
5 bedroom semi-detached house for sale,"Stewarton Drive, Glasgow, G72","Purplebricks are delighted to offer to the market this extremely rare, five bedroom extended semi detached located within the popular area of Cambuslang, Glasgow. This property would ideally suit younger and older families alike and early viewing is highly advised to avoid disappointment as this ...","£495,000",Added on 30/06/2021,"Purplebricks, covering Glasgow",www.rightmove.co.uk/properties/109798253
5 bedroom detached house for sale,"Carrick Drive, Mount Vernon, Glasgow","This beautiful, detached sandstone villa is set amidst enclosed private gardens and is located within a much admired and seldom available address. Alongside a wealth of impressive period features this home offers spacious and versatile accommodation, ideal for family living. Located in o...","£490,000",Added on 07/05/2021,"Residence Estate Agents, Uddingston",www.rightmove.co.uk/properties/80830722
5 bedroom detached house for sale,"Trafalgar Court, Dullatur, Glasgow, North Lanarkshire, G68","***CLOSING DATE SET FOR WEDNESDAY THE 7TH OF JULY AT 12NOON*** Spacious Dickie detached villa in a desirable Dullatur address offering substantial family accommodation, with eight main apartments providing versatile living space. This unique house is finished to a high standard throughout a...","£485,000",Added on 25/06/2021,"Slater Hogg & Howison, Cumbernauld",www.rightmove.co.uk/properties/80830722
3 bedroom flat for sale,"5A Great Western Terrace, Hyndland, G12 0UP","A superb three bedroom, south west facing garden flat, within a handsome former townhouse designed by Alexander “Greek” Thomson circa 1869.","£485,000",Added on 30/06/2021,"Corum, West End",www.rightmove.co.uk/properties/108769226
5 bedroom house for sale,"Plot 2 The Barr, Shott Gate, Blantyre, Glasgow","Nestled quietly in an exclusive walled enclave which leads to the historic Shott House, Shott Gate is a boutique development of only four villas which will enjoy a great level of tranquillity set amidst a wooded backdrop. The development will consist of two “Adam” Style 4 Bedroom villas...","£480,000",Added on 12/02/2021,"Residence Estate Agents, Hamilton",www.rightmove.co.uk/properties/108769226
4 bedroom detached house for sale,"Wellknowe Avenue, Thorntonhall","Seldom available, a spacious and individually designed four bedroom detached villa, set within generous garden, located in one of Thorntonhall's finest addresses, only a short walk to Thorntonhall Train Station.","£480,000",Added on 22/06/2021,"Nicol Estate Agents, Newton Mearns",www.rightmove.co.uk/properties/103374488
4 bedroom detached house for sale,"Downfield Gardens, Bothwell, Glasgow, G71","Nestled in an exclusive cul de sac within the coveted Bothwell 'Policies,' it commands a significant sized plot with open woodland views at its rear. Accommodation offers you multi reception rooms, conservatory, 4 bedrooms and also a home office, finally you'll also enjoy a double detached garage.","£480,000",Added on 25/02/2021,"Property Angels Estate Agents, Bothwell",www.rightmove.co.uk/properties/103374488
2 bedroom terraced house for sale,"Woodside Terrace Lane, Park, Glasgow",An incredibly exciting opportunity to purchase an outstanding mews style home formed over two levels and located to the rear of a magnificent building within the highly desirable Park area. The entire building including the mews has been refurbished to an exceptional standard and this...,"£475,000",Added on 29/04/2021,"Rettie & Co, West End",www.rightmove.co.uk/properties/109673543
4 bedroom semi-detached house for sale,"Greenhill Avenue, Giffnock, Glasgow, G46",** CLOSING DATE - WEDNESDAY 7TH JULY 2021 AT 12PM ** A distinctive semi detached house enjoying a highly sought after location.,"£475,000",Added on 24/06/2021,"Corum, Newton Mearns",www.rightmove.co.uk/properties/109673543
4 bedroom semi-detached house for sale,"Bulloch Avenue, Giffnock, Glasgow, G46 6NF","HD Video Available. An immediately impressive traditional four bedroom semi-detached villa, with an extremely flexible layout over two levels. Delivering ample driveway parking, detached garage with power, and enclosed child friendly rear gardens, the property will appeal to a broad demographic ...","£475,000",Added on 15/06/2021,"Clyde Property, Clarkston",www.rightmove.co.uk/properties/109425152
4 bedroom detached house for sale,"Malletsheugh Road,
Newton Mearns,
Glasgow,
G77","This impressive detached family home has a generous open-plan kitchen with dining space and dedicated breakfast area, which leads to the garden via a glazed bay. The spacious lounge - perfect for entertaining and relaxing - also leads to the garden.
A study and separate utility room provide space...","£474,995",Added on 26/06/2021,David Wilson Homes,www.rightmove.co.uk/properties/109425152
4 bedroom detached house for sale,"Ayr Road,
Newton Mearns,
Glasgow,
G77 6RT
","The MacLeod offers a kitchen with French doors to the garden, plus a dining room & separate utility room. Upstairs the Jack & Jill en suite is popular with families.","£470,000",Added on 06/03/2021,Taylor Wimpe,www.rightmove.co.uk/properties/109701950
5 bedroom detached house for sale,"Westercraigs, Dennistoun, G31 2HY","****360 VIRTUAL TOUR AVAILABLE****Keys Estate Agents are delighted to offer to the market this rarely available this unique Edwardian style Sandstone Detached Villa, built circa 1900's. Westercrai...","£469,950",Added on 14/09/2020,"Keys Estate Agents, Glasgow",www.rightmove.co.uk/properties/109701950
5 bedroom detached villa for sale,"40 New Edinburgh Road, Uddingston, Glasgow, G71 6BS","Stunning 5 bed detached family home, Popular location of Uddingston, Very spacious accommodation, Walk-in condition.","£465,000",Added on 11/05/2021,"McEwan Fraser Legal, Edinburgh",www.rightmove.co.uk/properties/106574726
6 bedroom detached house for sale,"Just off Ocein Drive,
Jackton,
G75 8RJ","The Lawrie Grand is a fantastic family home with INTEGRATED GARAGE, offering nearly 2,300 SQUARE FEET of living space over THREE STOREYS. The contemporary design offers a DOUBLE-HEIGHT GALLERIED HALLWAY. The downstairs area comprises a light and spacious OPEN PLAN DESIGNER KITCHEN, dining and fam...","£465,000",Added on 29/01/2021,Robertson Homes,www.rightmove.co.uk/properties/109279853
11 bedroom detached house for sale,"20 Craigpark Terrace, , Dennistoun, G31 2LZ","Excellent 11 bed detached HMO, Great Investment opportunity, Popular area - Dennistoun, Sitting tenants/ guaranteed income","£460,000",Added on 13/03/2020,"McEwan Fraser Legal, Edinburgh",www.rightmove.co.uk/properties/78271248
4 bedroom bungalow for sale,"Ayr Road, Newton Mearns, East Renfrewshire, G77","A superb opportunity to acquire within a most preferred location, an impressively sized and professionally extended detached bungalow which is ideal for the growing family market. Comprises, entrance vestibule , broad reception hallway , formal lounge , breakfasting kitchen, a substantially ...","£455,000",Added on 29/06/2021,"Slater Hogg & Howison, Clarkston, Glasgow",www.rightmove.co.uk/properties/78271248
4 bedroom house for sale,"Crookedshields Road, Glasgow, G74","Lot 1: Farmhouse, outbuildings and 10.8 acres of agricultural land.","£450,000",Reduced on 07/06/2021,"Davidson & Robertson Limited, Riccarton",www.rightmove.co.uk/properties/78182503
4 bedroom house for sale,"Plot 4 The Adam, Shott Gate, Blantyre, Glasgow","Nestled quietly in an exclusive walled enclave which leads to the historic Shott House, Shott Gate is a boutique development of only four villas which will enjoy a great level of tranquillity set amidst a wooded backdrop. The development will consist of two “Adam” Style 4 Bedroom villas...","£450,000",Added on 09/03/2021,"Residence Estate Agents, Hamilton",www.rightmove.co.uk/properties/78182503
4 bedroom house for sale,"Plot 1 The Adam, Shott Gate, Blantyre, Glasgow","Nestled quietly in an exclusive walled enclave which leads to the historic Shott House, Shott Gate is a boutique development of only four villas which will enjoy a great level of tranquillity set amidst a wooded backdrop. The development will consist of two “Adam” Style 4 Bedroom villas...","£450,000",Added on 12/02/2021,"Residence Estate Agents, Hamilton",www.rightmove.co.uk/properties/109647308
3 bedroom apartment for sale,"2/2, 12A Cleveden Crecent, Kelvinside",A striking three bedroom top floor apartment set within this handsome converted townhouse on the much admired Cleveden Crescent,"£450,000",Added on 29/04/2021,"Vanilla Square, Glasgow",www.rightmove.co.uk/properties/109647308
2 bedroom apartment for sale,"Princes Terrace, Dowanhill, Glasgow","Located on the exclusive Princes Terrace, a really impressive and generous two-bedroom conversion occupying the entire ground floor of this particularly attractive blonde sandstone terrace townhouse. The terrace sits elevated and set back from Prince Albert Road and is tree lined giving a comfort...","£449,000",Added on 18/06/2021,"Rettie & Co, West End",www.rightmove.co.uk/properties/108352025
4 bedroom apartment for sale,"Saltoun Street, Dowanhill, Glasgow","A unique and substantial tenement flat which forms part of a landmark West End building, built circa 1897, that is incredibly well known, having been made famous as the subject of the 1993 watercolour painting, “Windows in the West” by Avril Paton. This immediately impressi...","£445,000",Added on 24/06/2021,"Rettie & Co, West End",www.rightmove.co.uk/properties/108352025
5 bedroom detached house for sale,"Eaglesham Road,
Jackton,
G75 8RW","Designed for spacious and flexible family living, The Darroch features an open plan kitchen and family/dining area with bi-fold doors opening out to the garden, whilst the formal lounge to the front of the property is ideal for entertaining. ",Coming Soon,Added on 15/02/2021,CALA Homes,www.rightmove.co.uk/properties/103814546
2 bedroom duplex for sale,"21 Schaw House, Bearsden, G61 3AT","HD Video Available A truly magnificent luxury triplex two-bedroom apartment occupying three storeys of the grand tower at Schaw House an impressive built ‘B' listed Tudor Gothic Mansion, with the most spectacular private roof terrace, commanding views over Glasg...","£440,000",Added on 03/07/2020,"Property Bureau, Bearsden",www.rightmove.co.uk/properties/103814546
5 bedroom detached house for sale,"Eaglesham Road,
Jackton,
G75 8RW","For life with style, discover the Dewar - with large patio doors from both the lounge and kitchen, as well as an integral double garage, and 5 spacious bedrooms - 2 with ensuite and 4 with fitted wardrobes as standard. ",Coming Soon,Added on 15/02/2021,CALA Homes,www.rightmove.co.uk/properties/103814525
5 bedroom detached house for sale,"Eaglesham Road,
Jackton,
G75 8RW","For life with style, discover the Dewar - with large patio doors from both the lounge and kitchen, as well as an integral double garage, and 5 spacious bedrooms - 2 with ensuite and 4 with fitted wardrobes as standard. ",Coming Soon,Added on 15/02/2021,CALA Homes,www.rightmove.co.uk/properties/103814525
