Title,Address,Description,Price,Date added,Seller,Url
3 bedroom terraced house for sale,"Woodhead Crescent, Uddingston, Glasgow, G71",Beautifully presented three bedroom end terrace home perfectly positioned within a family friendly cul-de-sac and much sought after residential pocket of Uddingston. This larger style home offers an abundance of space geared to comfortable modern living. It is in excellent condition and finish...,"£135,000",Added on 26/06/2021,"YOUR MOVE - McLaughlin, Uddingston",www.rightmove.co.uk/properties/108952559
3 bedroom terraced house for sale,"Alloway Drive, Kirkintilloch, Glasgow, East Dunbartonshire, G66","** Closing for offers on Monday 5th July 2021 at 12 noon ** Beautifully presented three bedroom mid terraced villa set in the popular Harestanes area of Kirkintilloch. The house enjoys excellent views towards the Campsies at the rear, as well as having lots of privacy not being overlooked a...","£135,000",Added on 29/06/2021,"Countrywide, Kirkintilloch",www.rightmove.co.uk/properties/108952559
2 bedroom semi-detached house for sale,"Coats Crescent, Garrowhill, Glasgow, G69","***VIDEO TOUR*** A 2 Bedroom Semi-Detached Villa With Garage, Multicar Driveway, Bay Windows, PVC Double Glazing, Gas Central Heating, Modern Kitchen And Bathroom, Good Size Gardens, Viewing Advised.","£135,000",Added on 29/06/2021,"A B PROPERTY CONSULTANTS, Baillieston",www.rightmove.co.uk/properties/109521998
3 bedroom terraced house for sale,"Scarba Drive, Glasgow, Lanarkshire, G43","Beautifully presented three bedroom mid terrace villa situated within the much sought after and admired district of Eastwood. The property on offer comprises welcoming reception hallway, beautifully presented and expansive lounge, most impressive contemporary modern fitted kitchen, three expansiv...","£135,000",Added on 24/06/2021,"Countrywide, Shawlands",www.rightmove.co.uk/properties/109521998
1 bedroom flat for sale,West Regents Street,"**Easy Sales 4 U**£5000 DISCOUNT OFF HOME REPORT for this well presented one bedroom 2nd floor flat in the heart of Glasgow City Centre.The property comprises of hallway, open plan lounge with kitchen area off, kitchen is fully fitted with all white good supplied, double bedroom and 3 piece bath","£135,000",Added on 10/11/2020,"Easy Sales 4 U, Glasgow",www.rightmove.co.uk/properties/109660046
2 bedroom semi-detached house for sale,"Bodmin Gardens, Moodiesburn, Glasgow, G69 0PJ","Extensively modernised and upgraded, semi-detached bungalow, which is finished to a particularly high standard throughout and complemented by tasteful décor and enjoying a level plot within this sough...","£135,000",Added on 18/06/2021,"Town & Country Estate Agents, Glasgow",www.rightmove.co.uk/properties/109660046
1 bedroom flat for sale,"Parnie Street, Merchant City, Glasgow",Ross Sales & Lettings are delighted to offer to the market this simply superb traditional flat that is located at 52 Parnie Street in Glasgows vibrant Merchant City. This super-cool apartment comprises spacious entrance hallway with well-designed utility room and a large cupboard which (cont.),"£135,000",Added on 13/05/2021,"Ross Sales & Lettings, Glasgow",www.rightmove.co.uk/properties/109658099
1 bedroom flat for sale,"Albion Street, Merchant City, Glasgow, Lanarkshire, G1","A picture perfect property, full of élan and cleverly created to both maximise space and be full of light. West facing on the preferred elevation and with some of Glasgow's best and most engaging views of our cherished Victorian Cityscape. This spacious well appointed one bedroom flat offe...","£135,000",Reduced on 08/06/2021,"Slater Hogg & Howison, City Centre, Glasgow",www.rightmove.co.uk/properties/109658099
2 bedroom house for sale,"Abercorn Place, Summerston","Super, rarely available two bedroom terraced villa with GCH, DG and private gardens.","£135,000",Added on 30/06/2021,"Archibald Sharp, Glasgow",www.rightmove.co.uk/properties/109366685
3 bedroom flat for sale,"Ardbeg Street, Glasgow, G42",An well positioned ground floor flat enjoying a central location with easy access to amenities and public transport. The subjects comprise well maintained residents' entrance accessed via security entry system and reception hallway with ample storage off. Bay window lounge and access off to ...,"£135,000",Added on 29/06/2021,"Slater Hogg & Howison, Shawlands, Glasgow",www.rightmove.co.uk/properties/109366685
2 bedroom semi-detached villa for sale,"Cedar Place, Barrhead, Glasgow, G78 2EJ","*** CLOSING DATE TUESDAY 8TH JUNE AT 12 NOON ***An extremely well presented and rarely available modern semi-detached villa offering spacious accommodation. This property is sure to appeal to a wide range of buyers from those looking to purchase their first home, to those looking to downsize. ","£135,000",Added on 27/05/2021,"Barrhead Property Centre, Barrhead",www.rightmove.co.uk/properties/109119986
3 bedroom terraced house for sale,"Stobo, Calderwood, East Kilbride , G74","Spacious Linked Terrace in quiet residential street. Handy for good schools, transport and shops. Comprising, hall, lounge, fitted dining kitchen, 3 bedrooms, bathroom, gch, dg, gardens and garage. The house has excellent storage space and will appeal in particular to the family market. ","£135,000",Added on 16/06/2021,"Buchanan Burton Solicitors and Estate Agents, East Kilbride",www.rightmove.co.uk/properties/109119986
2 bedroom flat for sale,"Duncryne Place, Glasgow, G64","A rarely available, larger style first floor flat, located within a cul-de-sac in the desirable Bishopbriggs area. Conveniently located for a host of amenities, public parks and transport links. This fabulous property comprises a welcoming hall, spacious lounge with dining area, two large double ...","£135,000",Added on 10/05/2021,"Purplebricks, covering Glasgow",www.rightmove.co.uk/properties/109091891
2 bedroom end of terrace house for sale,"Micklehouse Wynd, Springhill, Baillieston, Glasgow, G69",**Closing Date Friday 2nd July 12pm** ***PLEASE SEE HD VIDEO*** Immediate internal viewing is strongly recommended to fully appreciate this truly stunning starter home. This fabulous end terrace villa built by Laing Homes offers ideal accommodation for today’s discern...,"£135,000",Added on 24/06/2021,"Countrywide, Baillieston",www.rightmove.co.uk/properties/109091891
3 bedroom terraced house for sale,"Harbury Place, Yoker, Glasgow, G14","Situated in this popular, modern developent a generously sized three bedroom, refurbished, mid terraced family home with a recent shower room. The accommodation comprises entrance hallway, west facing lounge with double glazed window. this room provides access into a generously sized...","£135,000",Reduced on 14/06/2021,"Countrywide, West End",www.rightmove.co.uk/properties/106841867
2 bedroom flat for sale,"Paisley Road West, Govan, Glasgow","Mains Estate Agents are pleased to present to the market this two bedroom 2nd floor flat located in Kinning Park, Glasgow. The property has been tastefully modernised and is beautifully presented in walk-in condition.","£135,000",Added on 26/05/2021,"Mains Estate Agents, Glasgow",www.rightmove.co.uk/properties/106841867
